City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,changping,40.2186,116.2197,289.95,17,35,2.73,CN,1686177179
334,enewetak,11.3474,162.3373,300.9,80,92,6.46,MH,1686177179
335,tromso,69.6496,18.957,278.36,70,75,4.12,NO,1686177179
336,manikchari,22.8408,91.844,298.52,88,99,0.79,BD,1686177179
337,gamba,-2.65,10.0,295.88,89,97,1.67,GA,1686177180
338,raja,8.4596,25.678,296.84,73,74,1.62,SS,1686177180
339,alofi,-19.0595,-169.9187,298.09,78,75,3.09,NU,1686177180
340,brookings,44.3114,-96.7984,303.18,54,20,6.17,US,1686177122
341,klaksvik,62.2266,-6.589,282.66,85,100,4.76,FO,1686177180
342,fort bragg,35.139,-79.006,296.9,63,100,4.63,US,1686176977
343,daru,-9.0763,143.2092,298.88,88,100,8.01,PG,1686177181
344,ujae,8.9322,165.7642,301.65,78,99,7.15,MH,1686177181
345,chonchi,-42.6128,-73.8092,282.66,92,100,5.44,CL,1686177181
346,guerrero negro,27.9769,-114.0611,292.69,55,35,9.0,MX,1686177181
347,alice springs,-23.7,133.8833,279.9,93,0,2.57,AU,1686177181
348,hinton,53.4001,-117.5857,300.91,15,38,0.4,CA,1686177182
349,arawa,-6.2132,155.5367,302.8,69,14,0.95,PG,1686177182
350,palikir - national government center,6.9248,158.1611,302.56,79,75,2.06,FM,1686177182
351,vernon,50.2581,-119.2691,306.44,10,21,1.54,CA,1686177182
352,mchinji,-13.7984,32.8802,286.59,68,0,1.43,MW,1686177182
353,bel ombre,-4.6167,55.4167,301.06,74,40,5.66,SC,1686177183
354,callao,-12.0667,-77.15,297.31,73,0,6.69,PE,1686177183
355,flying fish cove,-10.4217,105.6791,297.97,88,100,6.69,CX,1686177183
356,christchurch,-43.5333,172.6333,283.38,90,4,1.03,NZ,1686177184
357,stiens,53.2623,5.7577,284.81,87,100,4.63,NL,1686177184
358,mangochi,-14.4782,35.2645,292.15,60,0,1.9,MW,1686177184
359,kudat,6.8837,116.8477,298.11,94,20,1.54,MY,1686177184
360,maddagiri,13.6606,77.2092,297.83,71,90,2.97,IN,1686177184
361,igarka,67.4667,86.5833,286.53,65,76,2.42,RU,1686177185
362,shimanovsk,52.0,127.7,285.98,94,100,3.71,RU,1686177185
363,puerto armuelles,8.2833,-82.8667,301.02,77,100,0.45,PA,1686177185
364,saint-pierre,-21.3393,55.4781,294.02,73,20,1.54,RE,1686177186
365,saint-joseph,-21.3667,55.6167,293.41,79,22,5.28,RE,1686177186
366,xique xique,-10.8217,-42.7311,300.35,53,53,6.83,BR,1686177186
367,ixtapa,20.7,-105.2,301.72,70,40,4.63,MX,1686177186
368,labuan,5.2767,115.2417,300.35,83,20,0.51,MY,1686177186
369,tibu,8.639,-72.7358,302.35,71,36,0.9,CO,1686177187
370,amherst,41.3978,-82.2224,294.29,40,0,6.69,US,1686177187
371,puerto baquerizo moreno,-0.9,-89.6,299.7,78,75,3.09,EC,1686177187
372,remire-montjoly,4.9167,-52.2667,298.17,88,0,1.54,GF,1686177046
373,gizo,-8.103,156.8419,301.26,78,47,3.02,SB,1686177188
374,arteche,12.2645,125.4048,300.29,83,100,3.35,PH,1686177188
375,tidjikja,18.5564,-11.4271,306.73,14,10,4.89,MR,1686177188
376,barra de santo antonio,-9.4047,-35.5072,297.75,88,10,3.7,BR,1686177188
377,tumaco,1.7986,-78.8156,299.41,87,83,3.81,CO,1686177189
378,erdaojiang,41.7764,126.0319,288.74,96,100,1.49,CN,1686177189
379,fenoarivo atsinanana,-17.3667,49.4167,294.15,92,19,2.23,MG,1686177189
380,san juan de miraflores,-12.1629,-76.9635,296.44,82,25,4.0,PE,1686177189
381,salalah,17.0151,54.0924,302.2,84,40,1.54,OM,1686177190
382,akdagmadeni,39.6603,35.8836,284.46,82,2,1.41,TR,1686177190
383,bereznik,62.8551,42.7072,275.74,76,30,0.94,RU,1686177190
384,illela,13.7292,5.2975,306.91,38,98,7.72,NG,1686177190
385,palmas,-10.2128,-48.3603,302.08,51,0,2.57,BR,1686177191
386,cide,41.8921,33.0044,291.44,84,6,3.55,TR,1686177191
387,saipan,15.1355,145.701,301.84,100,20,5.81,MP,1686177191
388,vilyuysk,63.7553,121.6247,286.26,45,100,1.42,RU,1686177191
389,fisterra,42.9049,-9.2629,292.6,92,61,6.28,ES,1686177192
390,lazaro cardenas,17.9583,-102.2,302.85,59,23,4.66,MX,1686177192
391,nemuro,43.3236,145.575,284.8,96,59,4.41,JP,1686177038
392,kununurra,-15.7667,128.7333,292.14,82,97,1.54,AU,1686177192
393,bhamo,24.2667,97.2333,298.14,95,100,0.58,MM,1686177192
394,margate,51.3813,1.3862,284.76,84,2,4.47,GB,1686177193
395,kourou,5.1552,-52.6478,298.18,86,99,2.93,GF,1686177004
396,turbat,26.0023,63.044,303.94,63,2,4.4,PK,1686177193
397,vetlanda,57.4289,15.0776,283.78,84,7,1.25,SE,1686177194
398,talara,-4.5772,-81.2719,299.57,69,0,5.14,PE,1686177194
399,villeneuve-sur-lot,44.5,0.6667,293.18,87,97,3.43,FR,1686177194
400,chake chake,-5.2459,39.7666,297.03,91,71,4.51,TZ,1686177194
401,hobyo,5.3505,48.5268,299.89,83,85,11.49,SO,1686177194
402,aban,56.67,96.06,293.19,62,2,2.25,RU,1686177195
403,concepcion del oro,24.6333,-101.4167,300.22,19,58,4.56,MX,1686177195
404,natal,-5.795,-35.2094,299.51,94,40,3.09,BR,1686177195
405,beyneu,45.3167,55.2,294.79,35,34,4.47,KZ,1686177195
406,sao paulo de olivenca,-3.3783,-68.8725,297.09,97,70,0.41,BR,1686177195
407,konosha,60.9736,40.257,275.26,91,35,1.73,RU,1686177196
408,magadan,59.5667,150.8,287.89,70,9,1.8,RU,1686177196
409,igurubi,-4.0,33.7,290.63,35,0,4.05,TZ,1686177196
410,tasqala,51.1167,50.3167,288.82,56,80,2.77,KZ,1686177196
411,i-n-salah,27.1935,2.4607,305.47,19,2,7.88,DZ,1686177197
412,nizhnevartovsk,60.9344,76.5531,288.16,100,20,3.13,RU,1686177197
413,indi,17.1667,75.9667,301.67,57,30,7.95,IN,1686177197
414,carbonear,47.7332,-53.2148,282.17,94,100,2.22,CA,1686177197
415,tralee,52.2704,-9.7026,284.86,85,66,3.14,IE,1686177198
416,hammerfest,70.6634,23.6821,277.4,70,75,2.06,NO,1686177198
417,sakaiminato,35.55,133.2333,293.14,100,75,1.54,JP,1686177198
